iter	Passed	Remaining
0	1	123
1	2	117
2	3	116
3	4	110
4	5	109
5	6	109
6	8	107
7	9	106
8	10	106
9	11	104
10	12	102
11	14	102
12	15	100
13	16	100
14	17	99
15	18	99
16	20	98
17	21	96
18	22	95
19	23	93
20	24	93
21	26	92
22	27	90
23	28	89
24	29	88
25	30	87
26	32	86
27	33	85
28	34	83
29	35	82
30	36	82
31	37	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	57	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	53
55	66	51
56	68	51
57	70	51
58	72	50
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	79	42
65	81	41
66	82	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	94	28
77	95	26
78	97	25
79	99	24
80	100	23
81	102	22
82	104	21
83	105	20
84	107	18
85	108	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	119	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
