iter	Passed	Remaining
0	155	155781
1	157	78755
2	159	52966
3	161	40163
4	162	32414
5	164	27240
6	165	23534
7	167	20771
8	169	18691
9	171	17019
10	173	15615
11	176	14528
12	178	13542
13	180	12686
14	181	11938
15	183	11290
16	185	10707
17	186	10178
18	188	9711
19	190	9327
20	191	8950
21	193	8620
22	196	8330
23	197	8036
24	199	7766
25	201	7565
26	203	7339
27	205	7120
28	206	6907
29	207	6716
30	209	6541
31	210	6370
32	211	6203
33	212	6048
34	214	5910
35	215	5772
36	216	5641
37	218	5520
38	219	5416
39	221	5304
40	222	5203
41	223	5106
42	225	5018
43	226	4927
44	227	4838
45	229	4755
46	230	4674
47	232	4602
48	234	4550
49	236	4485
50	237	4416
51	238	4351
52	239	4286
53	240	4221
54	242	4160
55	244	4118
56	245	4064
57	246	4010
58	248	3957
59	249	3913
60	251	3872
61	252	3826
62	255	3799
63	257	3761
64	258	3715
65	261	3693
66	263	3667
67	265	3634
68	267	3604
69	268	3566
70	269	3531
71	271	3497
72	272	3466
73	275	3446
74	280	3460
75	282	3431
76	283	3398
77	285	3369
78	286	3345
79	288	3320
80	290	3297
81	292	3270
82	293	3238
83	294	3211
84	295	3182
85	297	3158
86	299	3142
87	301	3124
88	303	3106
89	306	3098
90	308	3077
91	309	3055
92	311	3033
93	312	3012
94	314	2993
95	315	2973
96	317	2952
97	318	2933
98	320	2918
99	322	2900
100	323	2881
101	324	2860
102	326	2840
103	327	2822
104	328	2802
105	329	2782
106	331	2766
107	335	2769
108	337	2755
109	338	2738
110	341	2731
111	342	2715
112	343	2697
113	345	2681
114	347	2673
115	348	2656
116	349	2639
117	350	2623
118	352	2608
119	354	2598
120	355	2583
121	356	2568
122	358	2553
123	360	2547
124	362	2534
125	363	2520
126	364	2506
127	366	2493
128	367	2481
129	368	2467
130	370	2455
131	371	2445
132	373	2431
133	374	2418
134	375	2406
135	377	2395
136	378	2382
137	379	2373
138	382	2369
139	385	2368
140	386	2356
141	387	2342
142	390	2341
143	392	2334
144	394	2324
145	395	2314
146	398	2311
147	399	2302
148	401	2292
149	403	2288
150	406	2283
151	408	2277
152	410	2270
153	411	2260
154	412	2250
155	414	2240
156	415	2230
157	416	2220
158	417	2210
159	419	2202
160	421	2195
161	422	2187
162	424	2181
163	426	2174
164	428	2166
165	429	2157
166	430	2147
167	433	2147
168	435	2139
169	437	2134
170	438	2128
171	440	2121
172	443	2119
173	446	2117
174	448	2112
175	450	2108
176	452	2103
177	453	2096
178	456	2093
179	458	2087
180	460	2083
181	461	2075
182	464	2074
183	465	2066
184	467	2057
185	469	2053
186	471	2050
187	473	2043
188	474	2036
189	476	2029
190	478	2024
191	479	2017
192	480	2010
193	482	2003
194	484	1998
195	485	1991
196	486	1983
197	489	1982
198	491	1980
199	493	1973
200	494	1967
201	496	1961
202	497	1954
203	499	1948
204	500	1941
205	502	1935
206	503	1928
207	504	1920
208	505	1914
209	507	1907
210	509	1903
211	510	1898
212	511	1891
213	513	1885
214	514	1879
215	516	1875
216	518	1870
217	519	1865
218	522	1862
219	523	1856
220	525	1852
221	528	1852
222	531	1851
223	533	1848
224	535	1843
225	537	1839
226	539	1835
227	540	1830
228	542	1825
229	544	1822
